name,address,city,state,website,phone,description,hours,tags,features,wifi_yes_no,outlets_yes_no,seating_type,best_for,noise_level,aesthetic_score,coffee_quality,food_availability,slug,image_url
Little Owl Coffee,"1555 Blake St",Denver,CO,https://littleowlcoffee.com,,"A sleek, tiny LoDo cafe serving excellent espresso and pour-overs from carefully chosen roasters.",Mon-Sun 7am-4pm,specialty;multi-roaster;minimalist,patio,false,false,minimal,casual,quiet,4.6,4.8,pastries,little-owl-denver-co,
Sightglass Coffee,"270 7th St",San Francisco,CA,https://sightglasscoffee.com,,"A massive, stunning two-story roastery in SoMa offering an immersive coffee experience.",Mon-Sun 7am-6pm,specialty;roaster;design,bike parking,true,false,open,casual;meetings,moderate,4.9,4.7,pastries,sightglass-san-francisco-ca,
Ritual Coffee Roasters,"1026 Valencia St",San Francisco,CA,https://ritualcoffee.com,,"Pioneers of the third-wave coffee movement in SF, serving bright, fruit-forward coffees in the Mission.",Mon-Sun 7am-6pm,specialty;roaster;pioneer,parklet,true,false,mixed,casual;studying,moderate,4.5,4.7,pastries,ritual-san-francisco-ca,
Wrecking Ball Coffee,"2271 Union St",San Francisco,CA,https://wreckingballcoffee.com,,"Known for their pineapple wallpaper and expertly roasted coffee by industry veterans.",Mon-Sun 7am-5pm,specialty;roaster;design,wallpaper,false,false,minimal,casual,quiet,4.7,4.6,pastries,wrecking-ball-san-francisco-ca,
Andytown Coffee Roasters,"3655 Lawton St",San Francisco,CA,https://andytownsf.com,,"Famous for the Snowy Plover signature drink and their proximity to Ocean Beach.",Mon-Sun 7am-5pm,specialty;roaster;beach,signature drinks,false,false,cozy,casual,lively,4.6,4.6,pastries,andytown-san-francisco-ca,
Saint Frank Coffee,"2340 Polk St",San Francisco,CA,https://saintfrankcoffee.com,,"An airy, beautiful Russian Hill cafe prioritizing direct relationships with producers.",Mon-Sun 7am-5pm,specialty;roaster;airy,wifi,true,true,mixed,remote work;casual,moderate,4.8,4.8,pastries,saint-frank-san-francisco-ca,
Panther Coffee,"2390 NW 2nd Ave",Miami,FL,https://panthercoffee.com,,"The shop that sparked Miami's specialty coffee scene, roasting on site in Wynwood.",Mon-Sun 7am-7pm,specialty;roaster;wynwood,wifi;patio,true,true,outdoor,casual;remote work,lively,4.6,4.5,pastries,panther-miami-fl,
All Day,"1035 N Miami Ave",Miami,FL,https://alldaymia.com,,"An incredibly stylish cafe and breakfast spot offering world-class coffee preparations.",Mon-Sun 8am-3pm,specialty;brunch;design,food,true,true,mixed,dates;meetings,moderate,4.9,4.7,full menu,all-day-miami-fl,
Chrome Yellow Trading Co,"501 Edgewood Ave SE",Atlanta,GA,https://chromeyellowtradingco.com,,"A beautifully designed coffee and dry goods shop serving expertly crafted coffee.",Mon-Sun 8am-5pm,specialty;retail;design,wifi;outlets,true,true,mixed,remote work;casual,moderate,4.8,4.6,pastries,chrome-yellow-atlanta-ga,
Brash Coffee,"1168 Howell Mill Rd",Atlanta,GA,https://brashcoffee.com,,"Operating out of repurposed shipping containers, serving meticulously sourced single-origin coffees.",Mon-Sun 7am-5pm,specialty;roaster;container,outdoor seating,false,false,outdoor,casual,moderate,4.5,4.7,pastries,brash-atlanta-ga,
Onyx Coffee Lab,"101 E Walnut St",Rogers,AR,https://onyxcoffeelab.com,,"An award-winning roaster with jaw-dropping cafe designs and some of the best coffee in the world.",Mon-Sun 6:30am-6pm,specialty;roaster;award-winning,wifi;design,true,true,open,casual;remote work,moderate,5.0,5.0,pastries;food,onyx-rogers-ar,
Archetype Coffee,"3926 Farnam St",Omaha,NE,https://archetype.coffee,,"Award-winning roaster pushing the boundaries of specialty coffee in the Midwest.",Mon-Sun 7am-5pm,specialty;roaster,wifi;outlets,true,true,mixed,remote work;studying,quiet,4.6,4.9,pastries,archetype-omaha-ne,
Passenger Coffee,"7 W King St",Lancaster,PA,https://passengercoffee.com,,"A pristine, minimalist cafe pouring what many consider some of the finest coffee in North America.",Mon-Sun 7am-4pm,specialty;roaster;minimalist,wifi,true,false,minimal,casual;meetings,quiet,4.9,5.0,pastries,passenger-lancaster-pa,
Elixr Coffee Roasters,"207 S Sydenham St",Philadelphia,PA,https://elixrcoffee.com,,"Hidden down an alleyway, this artsy cafe roasts fantastic coffee with a focus on light, floral profiles.",Mon-Sun 7am-6pm,specialty;roaster;hidden,wifi;art,true,true,mixed,remote work;studying,moderate,4.7,4.8,pastries,elixr-philadelphia-pa,
Ultimo Coffee,"1900 S 15th St",Philadelphia,PA,https://ultimocoffee.com,,"A pioneering Philly roaster serving consistently excellent coffee in a relaxed neighborhood setting.",Mon-Sun 7am-5pm,specialty;roaster;neighborhood,wifi;outlets,true,true,mixed,casual;remote work,quiet,4.5,4.6,pastries,ultimo-philadelphia-pa,
Sump Coffee,"3700 S Jefferson Ave",St. Louis,MO,https://sumpcoffee.com,,"A fiercely independent roaster known for pulling incredibly precise shots and refusing to serve decaf or sugar.",Mon-Sun 8am-4pm,specialty;roaster;purist,pourover,false,false,mixed,casual,quiet,4.6,4.9,pastries,sump-st-louis-mo,
Blueprint Coffee,"6225 Delmar Blvd",St. Louis,MO,https://blueprintcoffee.com,,"A science-driven roastery operated by coffee veterans offering transparently sourced beans.",Mon-Sun 7am-4pm,specialty;roaster;transparent,wifi;outlets,true,true,mixed,studying;remote work,moderate,4.6,4.8,pastries,blueprint-st-louis-mo,
Crema,"15 Hermitage Ave",Nashville,TN,https://crema-coffee.com,,"A beloved Nashville staple offering zero-waste practices and outstanding house-roasted coffee.",Mon-Sun 7am-5pm,specialty;roaster;sustainable,wifi;patio,true,true,mixed,remote work;casual,moderate,4.6,4.8,pastries,crema-nashville-tn,
Barista Parlor,"519B Gallatin Ave",Nashville,TN,https://baristaparlor.com,,"Known for stunningly designed industrial spaces and treating coffee preparation like high art.",Mon-Sun 7am-5pm,specialty;multi-roaster;design,wifi;art,true,true,open,casual;meetings,lively,4.9,4.5,pastries;sandwiches,barista-parlor-nashville-tn,
Madcap Coffee,"98 Monroe Center St NW",Grand Rapids,MI,https://madcapcoffee.com,,"A nationally recognized roaster with a beautiful flagship cafe in downtown Grand Rapids.",Mon-Sun 7am-5pm,specialty;roaster;design,wifi,true,false,mixed,casual;meetings,moderate,4.7,4.8,pastries,madcap-grand-rapids-mi,
Methodical Coffee,"147 E Washington St",Greenville,SC,https://methodicalcoffee.com,,"A gorgeous cafe bringing high-end roasting and beautiful floral design to the South.",Mon-Sun 7am-5pm,specialty;roaster;design,wifi;outlets,true,true,mixed,casual;dates,moderate,4.9,4.8,pastries,methodical-greenville-sc,
Monarch Coffee,"3550 Broadway Blvd",Kansas City,MO,https://monarchcoffeekc.com,,"An incredibly elegant cafe with stunning architecture and meticulously crafted drinks.",Mon-Sun 7am-5pm,specialty;design;roaster,wifi;art,true,false,mixed,dates;casual,quiet,5.0,4.7,pastries,monarch-kansas-city-mo,
Messenger Coffee,"1624 Grand Blvd",Kansas City,MO,https://messengercoffee.co,,"A massive three-story cafe, bakery, and roastery featuring a rooftop deck and incredible food.",Mon-Sun 7am-6pm,roaster;bakery;rooftop,wifi;food;rooftop,true,true,open,casual;remote work,lively,4.9,4.6,full menu,messenger-kansas-city-mo,
Jubala Coffee,"2100 Hillsborough St",Raleigh,NC,https://jubalacoffee.com,,"A lively cafe known for fantastic espresso (using Counter Culture) and incredible biscuits.",Mon-Sun 7am-5pm,specialty;biscuits;lively,wifi;food,true,true,mixed,studying;casual,lively,4.5,4.6,full menu,jubala-raleigh-nc,
Black & White Coffee Roasters,"314 Brooks St",Wake Forest,NC,https://blackwhiteroasters.com,,"Founded by two US Barista Champions, roasting some of the most exciting experimental coffees around.",Mon-Sun 7am-5pm,specialty;roaster;experimental,wifi;outlets,true,true,cozy,casual;studying,moderate,4.6,5.0,pastries,black-white-wake-forest-nc,
Cat & Cloud Coffee,"3600 Portola Dr",Santa Cruz,CA,https://catandcloud.com,,"A vibrant, positive-vibes-only roaster known for exceptional quality and community focus.",Mon-Sun 6am-5pm,specialty;roaster;community,patio,true,true,mixed,casual;remote work,lively,4.7,4.8,pastries,cat-cloud-santa-cruz-ca,
George Howell Coffee,"505 Washington St",Boston,MA,https://georgehowellcoffee.com,,"Founded by a coffee legend, focusing intensely on terroir and vintage single-origin coffees.",Mon-Sun 7am-5pm,specialty;roaster;legendary,wifi;outlets,true,true,mixed,studying;remote work,quiet,4.5,4.9,pastries,george-howell-boston-ma,
Broadsheet Coffee Roasters,"100 Kirkland St",Cambridge,MA,https://broadsheetcoffee.com,,"Cambridge's premier roaster, offering scientifically dialed-in coffees and great Middle Eastern-inspired food.",Mon-Sun 8am-3pm,specialty;roaster;food,wifi;food,true,true,mixed,studying;casual,moderate,4.6,4.7,full menu,broadsheet-cambridge-ma,
Gracenote Coffee,"108 Lincoln St",Boston,MA,https://gracenotecoffee.com,,"A tiny, standing-room-only espresso bar pulling some of the best shots in New England.",Mon-Fri 7am-3pm,specialty;roaster;tiny,standing room,false,false,minimal,casual,quiet,4.6,4.9,pastries,gracenote-boston-ma,
Ceremony Coffee Roasters,"90 State Cir",Annapolis,MD,https://ceremonycoffee.com,,"A sleek cafe offering beautiful seasonal menus and perfectly roasted single-origin coffees.",Mon-Sun 7am-6pm,specialty;roaster;design,wifi;outlets,true,true,mixed,remote work;casual,moderate,4.7,4.7,pastries,ceremony-annapolis-md,
Seydoux Coffee,"1300 NW Northrup St",Portland,OR,https://seydoux.com,,"A cozy Portland staple focused on French-inspired coffee drinks and incredible baked goods.",Mon-Sun 7am-4pm,specialty;french;cozy,wifi,true,true,mixed,casual;dates,quiet,4.5,4.6,pastries,seydoux-portland-or,
Symmetry Coffee,"110 E Silver Springs Blvd",Ocala,FL,https://symmetrycoffee.com,,"A surprisingly incredible specialty coffee shop offering perfectly dialed-in espresso and pour-overs.",Mon-Sat 8am-4pm,specialty;roaster;hidden gem,wifi;outlets,true,true,mixed,remote work;studying,moderate,4.5,4.7,pastries,symmetry-ocala-fl,
Narrative Coffee,"2927 Wetmore Ave",Everett,WA,https://narrativecoffee.com,,"An award-winning multi-roaster prioritizing community and education.",Mon-Sun 7am-5pm,specialty;multi-roaster;community,wifi;outlets,true,true,open,remote work;studying,moderate,4.6,4.8,pastries;sandwiches,narrative-everett-wa,
Clairvoyant Coffee,"123 Main St",Austin,TX,https://clairvoyant.com,,"Austin local favorite serving high end lattes and matcha.",Mon-Sun 7am-5pm,specialty;matcha;local,wifi;patio,true,true,mixed,remote work,moderate,4.4,4.5,pastries,clairvoyant-austin-tx,
Blossom Coffee,"456 Spring St",Denver,CO,https://blossom.co,,"A flower shop turned coffee bar serving excellent roasts.",Mon-Sun 7am-3pm,specialty;flowers;design,wifi,true,false,cozy,casual,quiet,4.8,4.5,pastries,blossom-denver-co,
Iron & Kin,"140 W Foothill Blvd",Claremont,CA,https://ironandkin.com,,"Specialty cafe deeply integrated into the local community offering seasonal drinks.",Mon-Sun 7am-5pm,specialty;community,wifi;outlets,true,true,mixed,studying;remote work,moderate,4.5,4.6,pastries,iron-kin-claremont-ca
